DATA_YEAR,OFFENSE_SUBCAT_ID,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT
2016,81,2,0,2,0
2016,82,1,0,0,0
2016,82,2,0,0,0
2019,81,15,0,4,0
2017,81,1,0,0,0
2018,81,1,0,0,0
2020,81,1,0,1,0
2020,81,2,0,0,0
2020,82,1,0,0,0
2020,81,2,0,1,0
2020,81,5,0,0,0
2020,82,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,1,0
2020,81,2,0,0,0
2017,81,1,0,0,0
2017,81,3,0,3,0
2020,81,1,0,0,0
2018,81,4,0,2,0
2020,81,4,0,0,0
2020,81,3,0,0,0
2020,81,1,0,0,0
2017,81,1,0,1,0
2017,81,1,0,1,0
2019,81,1,0,1,0
2018,81,1,0,1,0
2017,81,1,0,0,0
2016,81,1,0,0,0
2016,81,1,0,0,0
2016,82,4,0,0,0
2016,81,1,0,1,0
2017,81,2,0,0,0
2017,81,1,0,1,0
2017,82,3,0,0,0
2016,81,1,0,0,0
2016,82,2,0,0,0
2016,81,1,0,0,0
2016,82,2,0,0,0
2017,82,3,0,1,0
2020,81,1,0,0,0
2020,81,4,0,2,1
2020,81,3,0,3,0
2020,81,2,0,3,0
2020,81,6,0,0,0
2020,81,1,0,0,0
2018,81,2,0,0,0
2019,82,1,0,0,0
2020,81,1,0,0,0
2015,81,1,0,1,0
2016,81,5,0,5,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2018,81,4,0,0,0
2018,82,1,0,0,0
2018,81,1,0,0,0
2019,81,3,0,0,0
2019,82,1,0,0,0
2019,81,1,0,0,0
2019,81,2,0,0,0
2019,81,1,0,0,0
2019,81,2,0,1,0
2019,81,1,0,0,0
2019,81,2,0,1,0
2020,81,1,0,0,0
2016,81,1,0,0,0
2016,82,1,0,0,0
2016,81,3,0,0,0
2016,81,1,0,0,0
2016,81,1,0,0,0
2016,81,1,0,0,0
2017,81,3,0,0,0
2017,81,2,0,1,0
2017,81,2,0,1,0
2017,81,5,0,1,0
2020,82,1,0,1,0
2018,81,1,0,1,0
2018,82,1,0,0,0
2018,81,1,0,0,0
2018,81,3,0,0,0
2018,81,1,0,1,0
2018,81,1,0,0,0
2019,81,6,0,0,0
2019,81,1,0,0,0
2019,81,1,0,0,0
2019,81,3,0,1,0
2019,81,4,0,1,0
2019,81,2,0,1,0
2019,81,1,0,1,0
2019,81,1,0,6,0
2019,81,3,0,2,0
2017,81,1,0,0,0
2019,81,2,0,0,0
2016,81,1,0,0,0
2020,81,1,0,0,0
2017,81,1,0,0,0
2018,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,1,0
2019,81,1,0,0,0
2020,81,1,0,0,0
2019,81,2,0,0,0
2019,81,3,0,1,0
2019,81,1,0,0,0
2019,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,0,0
2019,81,1,0,1,0
2019,82,1,0,0,0
2020,82,1,0,0,0
2020,81,1,0,0,0
2020,81,1,0,1,0
2020,81,1,0,0,0
2020,81,3,0,0,0
2020,82,3,0,0,0
2019,81,1,0,0,0
2020,82,1,0,1,0
2019,81,1,0,1,0
2019,82,1,0,0,0
2019,81,2,0,1,1
2019,81,1,0,0,0
2020,81,1,0,1,0
2020,81,1,0,0,0
2020,82,1,0,0,0
2020,81,1,0,0,0
2019,82,1,0,0,0
2020,81,1,0,0,0
2018,81,1,0,1,0
2019,81,2,0,2,0
2019,81,1,0,0,0
2018,81,1,0,0,0
2019,81,1,0,0,0
2019,81,1,0,0,0
2020,81,1,0,1,0
2020,82,1,0,0,0
2020,81,1,0,0,0
2020,81,2,0,1,0
2020,81,1,0,0,0
2020,82,1,0,0,0
2020,82,1,0,0,0
2019,81,2,0,2,0
2018,81,2,0,0,0
2017,81,1,0,0,0
2019,81,1,0,0,0
2017,81,1,0,1,0
2014,81,2,0,1,0
2014,81,1,0,0,0
2014,82,11,0,0,0
2014,81,1,0,1,0
2014,81,1,0,0,0
2014,81,1,0,0,0
2014,81,3,0,0,0
2014,82,1,0,0,0
2014,81,1,0,1,0
2014,81,7,0,2,0
2014,81,3,0,1,0
2014,81,1,0,0,0
2014,81,1,0,0,0
2014,82,1,0,0,0
2014,81,1,0,0,0
2014,81,1,0,1,0
2014,81,1,0,1,0
2014,81,1,0,0,0
2014,82,1,0,0,0
2014,81,2,0,0,0
2014,81,2,0,0,0
2014,82,1,0,0,0
2014,81,4,0,1,0
2014,81,1,0,0,0
2014,81,1,0,0,0
2014,82,4,0,0,0
2018,81,1,0,0,0
2018,81,1,0,0,0
2018,81,1,0,1,0
2018,81,1,0,1,0
2018,81,1,0,0,0
2018,81,1,0,0,0
2017,81,9,0,8,0
2018,81,1,3,0,0
2017,82,1,0,0,0
2018,81,1,0,1,0
2018,82,2,0,0,0
2018,81,18,10,1,0
2018,81,2,0,1,0
2019,81,1,0,0,0
2018,81,1,0,0,0
2017,81,3,0,2,0
2018,82,1,0,0,0
2018,81,5,0,0,0
2017,81,3,0,3,0
2018,81,1,0,0,0
2017,81,1,0,0,0
2017,81,2,0,2,0
2017,81,2,0,0,0
2018,81,1,0,0,0
2017,81,2,0,1,0
2017,81,9,0,6,0
2017,81,1,0,1,0
2017,81,10,0,10,0
2017,81,5,0,5,0
2017,81,9,0,3,0
2018,81,6,0,6,0
2018,81,1,0,0,0
2018,81,3,0,3,0
2017,81,3,0,1,0
2017,81,32,0,25,0
2017,81,2,0,0,0
2018,81,1,0,0,0
2017,82,1,0,0,0
2019,82,1,0,0,0
2018,81,1,0,0,0
2018,81,3,0,1,0
2018,81,1,0,0,0
2018,81,1,0,1,0
2015,81,3,0,0,0
2015,82,1,0,0,0
2015,81,1,0,0,0
2015,81,2,0,0,0
2015,82,11,0,4,0
2014,81,1,0,0,0
2015,82,1,0,0,0
2014,81,1,0,1,0
2014,81,3,0,3,0
2014,82,1,0,1,0
2014,81,2,0,0,0
2014,81,1,0,1,0
2014,81,2,0,1,0
2014,81,1,0,1,0
2014,81,3,0,3,0
2014,81,1,0,0,0
2014,81,1,0,0,0
2014,81,1,0,0,0
2019,81,1,0,1,0
2014,81,1,0,0,0
